Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1748923512,100,,Aggregated,38.300000,28.300000,10,24,34,43,75,110,160,200,360,540,630,14039,9736,10,28.200155774918258,1.4262609993238584,628.9181410002129,1607.5286701332004
1748923513,100,,Aggregated,37.200000,27.700000,10,24,34,43,75,110,160,200,360,540,630,14077,9768,10,28.161176592319322,1.4262609993238584,628.9181410002129,1607.6142644029267
1748923514,100,,Aggregated,37.400000,27.500000,10,24,34,43,75,110,160,200,360,540,630,14122,9799,10,28.22908773750699,1.4262609993238584,628.9181410002129,1606.5041070669877
1748923515,100,,Aggregated,37.400000,27.800000,10,24,34,43,75,110,160,200,360,540,630,14160,9825,10,28.21104733319757,1.4262609993238584,628.9181410002129,1606.9209745762712
1748923516,100,,Aggregated,38.500000,28.100000,10,24,34,43,75,110,160,200,360,540,630,14199,9853,10,28.197327730690965,1.4262609993238584,628.9181410002129,1605.2514965842665
1748923517,100,,Aggregated,38.500000,28.100000,10,24,34,43,75,110,160,200,360,540,630,14236,9882,10,28.16607629819293,1.4262609993238584,628.9181410002129,1605.3172239393089
1748923518,100,,Aggregated,39.100000,28.200000,10,24,34,43,75,110,160,200,360,540,630,14279,9913,10,28.146053358993964,1.4262609993238584,628.9181410002129,1606.0845297289727
1748923519,100,,Aggregated,38.300000,27.900000,10,24,34,43,75,110,160,200,360,540,630,14314,9940,10,28.114147533189755,1.4262609993238584,628.9181410002129,1606.867402542965
1748923520,100,,Aggregated,39.500000,28.700000,10,24,34,42,75,110,160,200,360,540,630,14354,9972,10,28.08807129595098,1.4262609993238584,628.9181410002129,1607.0677163160094
1748923521,100,,Aggregated,39.200000,28.700000,10,24,34,42,75,110,160,200,360,540,630,14391,9999,10,28.072368126404147,1.4262609993238584,628.9181410002129,1608.1542630810923
1748923522,100,,Aggregated,39.200000,28.800000,10,24,34,43,75,110,160,200,360,540,630,14439,10028,10,28.21194624302809,1.4262609993238584,628.9181410002129,1609.5834199044255
1748923523,100,,Aggregated,39.300000,28.700000,10,24,34,43,75,110,160,200,360,540,630,14481,10057,10,28.1954288310255,1.4262609993238584,628.9181410002129,1606.3823630964712
1748923524,100,,Aggregated,39.300000,29.000000,10,24,34,43,75,110,160,200,360,540,630,14522,10093,10,28.139469122302575,1.4262609993238584,628.9181410002129,1606.1132764082083
1748923525,100,,Aggregated,40.700000,29.200000,10,24,34,43,75,110,160,200,360,540,630,14562,10120,10,28.13606264160683,1.4262609993238584,628.9181410002129,1605.8502952891085
1748923526,100,,Aggregated,40.700000,30.000000,10,24,34,43,75,110,160,200,360,540,630,14596,10146,10,28.111107751032854,1.4262609993238584,628.9181410002129,1605.2371882707591
1748923527,100,,Aggregated,40.300000,29.800000,10,24,34,43,75,110,160,200,360,540,630,14633,10170,10,28.1559808567672,1.4262609993238584,628.9181410002129,1607.251623043805
1748923528,100,,Aggregated,39.600000,29.300000,10,24,34,43,75,110,160,200,360,540,630,14678,10198,10,28.17894505096552,1.4262609993238584,628.9181410002129,1607.2222373620384
